성별을 선택해주세요.,생년월일을 작성해주세요.,본인의 최종 학력을 선택해주세요.,재학 또는 졸업하신 학교 명과 전공 명을 작성해주세요.,본인의 현재 상태를 선택해주세요.,교육 과정에 대한 동기와 목표,협업 및 문제 해결 경험
남성,2001.02.09,대학교 졸업,선문대학교 AI소프트웨어,졸업 후 취업 준비자,"저는 KT에서 진행하는 본 교육 과정이 저에게 큰 기회라고 생각합니다. 저는 AI 전공을 통해 모델 학습과 데이터 처리 중심의 역량을 쌓아왔습니다. 여러 프로젝트를 수행하면서 모델을 구현하는 데는 익숙했지만, 모델을 배포하고 운영하는 과정에서 어려움을 겪었습니다. 현대 IT 인프라가 클라우드로 전환됨에 따라 클라우드 기술의 중요성이 매우 커지고 있다고 생각합니다. IT 기업들의 Tech 글만 살펴보아도 AWS,Azure등의 클라우드 서비스를 이용하여 기술을 적용하고 있습니다. 저는 KT 클라우드 네이티브 과정 부트캠프를 통해 시스템 모니터링, 오케스트레이션, 현직 멘토 조언 등을 통해 배우고 실무에 가까운 프로젝트을 경험하고 싶습니다. 또한 AI프로젝트와 접목하여 MLOps 역량을 강화하고 싶습니다. 클라우드, MLOps 분야에서의 전문가가 되고자 합니다.","여러 프로젝트를 진행하면서 가장 크게 배운 것은 '동료를 존중하자' 입니다. 학부생 시절 타 학과 친구들과 팀을 이뤄 처음엔 어색했지만, 수업 외 공통 관심사를 나누며 친분을 쌓았습니다.저는 이런 과정에서 팀원들이 저를 존중한다는 느낌을 받았습니다. 소통이 원활해지고 프로젝트 진행도 눈에 띄게 좋아졌습니다. 저는 이러한 경험을 제가 팀장을 맡아 프로젝트를 진행할 때 적용하였습니다. 매일 같이 프로젝트 진행도, 각자 어려운 부분에 대해 의견을 자유롭게 나눴습니다. 프로젝트를 진행하는데 있어 갑작스럽게 팀원 한 명이 빠지게 되어 프로젝트의 차질이 생기게 되었지만, 남은 파트에 대해서 서로 남 일이라 생각 안 하고 다들 열심히 참여하여 차질 없이 프로젝트를 완성하게 되었습니다. 저는 이러한 결과들이 팀의 분위기와 친분에서 오는 선한 결과라고 생각합니다. 서로 존중하며 배려하는 자세는 좋은 결과를 가져온다는 것을 배우게 되었습니다."
남성,1997.06.24,대학교 졸업,가톨릭대학교 성심교정 컴퓨터정보공학과,졸업 후 취업 준비자,"졸업 후 프로젝트로 게임 공략사이트를 운영해보기로 하여 여전히 운영중에 있는 포켓지지라는 사이트를 만들었습니다. 이 경험을 통해 개발부터 배포까지의 전 과정을 경험했습니다. 이 과정에서 인프라 관리의 중요성과 복잡성을 체감하며 클라우드 기술에 관심을 갖게 되었습니다. 
관심을 가지고 진로를 생각해보니 AI가 급속히 발전하는 시대에 단순 반복적 업무보다는 AI와 협업하며 시스템 전반을 설계하고 최적화하는 클라우드 엔지니어가 지속 가능한 직업이라고 판단했습니다. 특히 클라우드 네이티브 기술에서 전문성을 갖춘다면 변화하는 기술 환경에서도 경쟁력을 유지할 수 있을 것이라 생각합니다.
본 교육과정을 통해 실제 웹사이트를 관리하면서 부족함을 느꼈던 효율적인 배포 프로세스와 안정적인 서버 운영, CI/CD를 통한 자동화된 관리 시스템 등의 실무 역량을 점진적으로 발전시켜 현업에서 즉시 활용 가능한 실력 있는 클라우드 엔지니어로 성장하고자 합니다.","대학 시절 팀 프로젝트로 웹소켓을 활용한 실시간 오목 게임을 개발한 경험이 있습니다. 저는 클라이언트 간 메시지 전송과 게임판 상태 관리 같은 실시간 통신 기능 구현을 담당했습니다. 초반에는 팀원마다 코드 작성 방식과 Git 사용법이 달라 충돌이 잦았고, 웹소켓 특성상 서버 오류가 발생하면 전체 게임 흐름이 끊기는 문제가 있었습니다.
이를 해결하기 위해 초기에 모여 코드 컨벤션과 브랜치 전략을 합의했고, 개발 과정에서도 자주 만나 진행 상황을 공유했습니다. 특히 실시간 통신 부분에서 연결이 끊어지는 오류가 반복 발생했을 때는 팀원들과 함께 에러 로그를 분석하며 원인을 찾아갔습니다. 또한 매주 정기적으로 만나 각자 담당 부분의 진척도를 점검하고 막히는 부분이 있으면 함께 해결 방안을 모색했습니다.
그 결과 서버 안정성과 개발 효율을 높일 수 있었고, 협업에서는 초기에 충분히 계획을 세우고 개발 중 자주 소통하는 것이 프로젝트 진행 속도와 완성도를 좌우한다는 점을 배웠습니다."
여성,1993.04.13,고등학교 졸업 이하,대전신일여자고등학교,퇴사 후 이직 준비자,"비전공자로 시작해 6년간 퍼블리셔에서 프론트엔드, 백엔드를 거쳐 인프라까지 경험하며 개발의 전체 라이프사이클을 이해하게 되었습니다. 특히 소규모 프로젝트가 확장되며 클라우드 인프라 운영을 담당했을 때, Docker와 Kubernetes를 활용한 마이크로서비스 아키텍처 구성, CI/CD 파이프라인 구축, 오토스케일링 설정 등을 경험하며 DevOps의 매력을 발견했습니다.
단순히 코드를 작성하는 것을 넘어 서비스가 안정적으로 운영되고 사용자에게 지속적으로 가치를 전달하는 전체 과정을 설계하고 최적화하는 일에서 큰 보람을 느꼈습니다. 하지만 당시에는 체계적인 학습 없이 필요에 따라 급하게 적용하다 보니, 각 기술의 원리와 베스트 프랙티스를 충분히 이해하지 못한 아쉬움이 있었습니다.
본 과정을 통해 Infrastructure as Code로 일관된 인프라 관리 체계를 구축하고, GitOps 방식의 자동화된 배포 파이프라인을 설계할 수 있는 역량을 갖추고자 합니다. 또한 Prometheus,","커머스 서비스 운영 중 기획팀에서 특정 클라이언트를 위한 이벤트 기능 추가를 요청했습니다. 개발팀은 서비스 전체 플로우 수정이 필요해 많은 시간이 소요된다고 했고, 기획팀은 더 빠른 개발을 요구하며 갈등이 발생했습니다.
저는 파트장으로서 양측 입장을 파악한 후, 이벤트성 기능의 특성을 고려해 임시 분기처리로 필요한 부분만 구현하고 이벤트 종료 후 코드를 제거하는 방안을 제시했습니다. 개발팀이 코드 품질 저하를 우려했지만, 조직 내 개발자의 최우선 과제는 비즈니스 문제 해결임을 강조하며 설득했습니다.
결과적으로 개발 기간을 단축하여 이벤트 일정에 맞출 수 있었고, 팀 갈등도 해소되었습니다. 또한 향후 유사한 상황을 위해 기획팀에 사전 협의 프로세스 개선을 여러 차례 건의했습니다.
이 경험을 통해 비즈니스 요구와 기술적 완성도 간의 균형점을 찾는 것의 중요성과, 상황에 맞는 유연한 기술적 접근이 때로는 완벽한 솔루션보다 더 가치 있다는 교훈을 얻었습니다."
남성,1994.01.04,고등학교 졸업 이하,창원대학교 신소재공학과 중퇴,퇴사 후 이직 준비자,"스타트업과 개인프로젝트를 진행하면서, 어떤 언어로 개발하던, 어떤 DB 를 사용하던지 서버에 올리고 운영해야된다는 것을 알았습니다. 그 과정에서 Jenkins 기반의 CI/CD 와 같은 자동화 도구와 파이프라인을 구축, 모니터링 시스템을 구축하면서 흥미를 많이 가지게 되었습니다. 개발도 물론 좋지만 그보다 더 전체 구조를 효율적으로 설계하고 운영하는 영역에 관심이 커졌고 그게 DevOps 의 역할중 하나인것도 알았습니다. 더 공부해보고 싶었을 때 마침 이 과정이 열렸고 다른직군과 팀으로 협업하는것에 매우매우 관심이 갔고, 또한 열정있는 사람들과 같이 배우면서 해보고 싶기에 지원을 하였습니다.

과정을 수강한 후에는 스타트업 수준의 작은 규모부터 점차 커지는 아키텍쳐를 함께 설계하고 운영하는 경험을 해보고 싶습니다. 개인 프로젝트를 오픈해서 같은 느낌으로 확장하며 직접 구축하는것도 목표입니다.","스타트업 프로젝트에서 대표님의 아이디어를 전부 넣으려고 각 페이지의 기획&디자인이 오래 걸리는 상황이 있었습니다. 저는 백엔드 개발로서 공통 핵심 모듈(user, security)개발과 Jenkins,Docker 기반 CI/CD 파이프라인을 구축하던 중이였습니다.
페이지 제작이 너무 오래걸린다고 말씀드리며, 핵심 기능 먼저 구현하는게 어떻겠냐는 의견을 냈고 토론 후 저도 같이 기획에 참여하면서 1차/2차 개발로 나누어 구분하며 진행하였습니다. 또한, 진행하면서 협업에 좀 더 적합한 도구 Figma,Discord 를 찾고 사용하면서 효율을 더 높였습니다. 
이때의 경험을 통해 어느 한 포지션만 보는게 아닌 서로간의 소통이 중요하단것을 알게 되었고, 그리고 일의 중요도 순서를 정해서 그에 맞게 배분하는 것도 중요한것을 알았습니다.또한 프로젝트 초기일수록 서로 진행 속도를 소통하며 조율하는 것이 필수임을 알 수 있었습니다."
남성,1997.05.09,대학교 졸업,한성대학교 부동산학과,졸업 후 취업 준비자,"개발에 끌린 이유는 상상한 것을 스스로 구현할 수 있다는 확신 때문입니다. 
모든 암 환우 및 가족들이 쉽게 한국어 질문 하나만으로도 전세계 의료진 및 환자들과 연결됐으면 하는 마음에서 출발한 cancer zero 프로젝트에서 번역, 자동 게시 및 답변수집, 요약, 논문 기반 답변까지 4개 서비스를 단일 서버에서 컨테이너로 운영하며 ""작동하게 만들기""는 해냈지만, 배포, 로그, 모니터링 등 기본기가 부족해 확장성과 안정성의 한계를 느꼈습니다. KT Cloud TECH UP 클라우드 네이티브 과정에서 컨테이너 운영 기초, 배포 자동화, 관측, 장애 복구를 체득해 배포 및 복구 시간을 줄이고, 필요 시 서버를 손쉽게 늘리고 줄일 수 있는 구조로 개선하겠습니다. 수료까지 배포 자동화 파이프라인, 운영 대시보드, 장애 대응 가이드의 세 가지 산출물을 완성하고, 이후 cancer zero를 표준화된 운영으로 전환해 설계부터 운영까지 책임지는 엔지니어로 성장하겠습니다.","cancer zero 프로젝트에서 동료의 아이디어를 기능으로 구현해 4개 FastAPI를 컨테이너로 단일 VM에서 운영했습니다. 기본기 부족과 수동 배포 탓에 기능이 2~3일 뒤에야 보이는 일이 잦았고, 그 이유(외부 API 지연, 구조 변경, 테스트 실패 등)를 명확히 설명하지 못해 “진척이 없다”는 갈등이 발생했습니다. 해결을 위해 현재 진행 현황 및 문제점들을 가감없이 보고했고, 계속해서 작업일지, 에러 로그 등을 기록하였습니다. 그 결과 예상 가능한 범위에서 프로젝트가 진행되었고, 계속해서 계획을 수정하여 일정에 차질 없이 진행할 수 있었습니다."
남성,1999.05.11,대학교 졸업,"State University of New York, StonyBrook / Computer Science",졸업 후 취업 준비자,"저는 Computer Science 전공하고 대학교 휴학중 1년 6개월간 아티젠스페이스에서 클라이언트 개발자로 근무하며 다양한 프로젝트를 경험했습니다. 하지만 개발 과정에서 빠르게 발전하는 AI를 보며 '내가 하고있는 일이 곧 AI가 대체할 수 있는 영역이 아닐까?' 라는 고민이 늘 있었습니다. 그래서 장기적으로는 단순한 프로그래밍보다는 인프라와 DevOps 분야에 확실한 역량을 쌓고 싶다는 방향성을 가지게 되었습니다.

그러던 중 지인 DevOps 개발자와 제가 가진 고민에 대한 깊은 이야기를 하게 되었습니다. 그 분 역시 해당 분야가 대체 불가능한 분야인것을 확신하고 있었고 미래에도 사라지지 않을 가치있는 분야라는 것을 제게 이야기 해주었습니다, 하지만 동시에 높은 진입장벽을 가졌다고 제게 설명해 주셨습니다. 그래서 제게 KT Cloud 부트캠프를 추천해주셨습니다. 이번 과정을 통해 DevOps 엔지니어로서 전공 지식을 확장하고, 실무에 바로 적용 가능한 역량을 쌓고싶습니다.","저는 대학교 졸업 프로젝트로 AI 기반 논문 요약 웹 서비스 summarAIze를 3인 팀으로 개발하며 팀장 역할을 맡은 경험이 있습니다. summarAIze는 사용자가 논문 PDF를 업로드하면 OpenAI API를 통해 논문을 요약하고 아카이브 형식으로 저장해 볼 수 있는 서비스입니다.

초기에는 팀원들이 소극적으로 참여하고 일정 조율이 원활하지 않아 프로젝트가 지연되는 어려움이 있었습니다. 이를 해결하기 위해 저는 정기적인 대면 회의 대신 짧은 비대면 미팅을 자주 주최하였습니다. 또한 불분명한 R&R을 명확히 하기 위해 Jira를 활용하여 역할을 분배하고, 스프린트 형식으로 단기 목표를 설정해 팀원들이 작은 성과를 빠르게 공유하고 피드백을 주고받는 환경을 만들었습니다. 이러한 노력 덕분에 팀원들은 점점 적극적으로 변했고 각자 맡은 업무에 대한 책임감과 기여도가 높아졌습니다. 결과적으로는 프로젝트를 기한에 성공적으로 완성하고 우수 프로젝트로 선정되는 좋은 결과를 가지게 되었습니다."
여성,1992.01.26,대학교 졸업,이화여대/수학과,졸업 후 취업 준비자,"저는 물류 스타트업에서 프론트엔드 직무로 약 3년간 일한 경력이 있습니다. 초기 단계에서 합류하였기 때문에, 프로젝트 전반적인 구조와 기능을 온전히 설계하고 구현할 수 있는 좋은 기회였습니다. 하지만 프로젝트가 복잡해질수록 프론트엔드로 기여할 수 있는 일의 한계를 느꼈고, 더욱 전산적이고 컴퓨터 공학적인 역할의 일을 하고 싶다고 느꼈습니다. 막학기 인공지능 수업을 통해 데이터 직무를 알게되었고, 그 중 전통적인 컴퓨터 구조를 '클라우드'라는 분산된 환경으로 확장한 기술로 데이터를 흐름을 관리하는 포지션과 해당 교육 과정을 알게 되었습니다. 클라우드 기술에 대해서 깊이 있게 공부하고, 다른 포지션과 협업할 수 있는 기회가 있는 것 모두 흔치 않은 기회로, 이 과정을 통해 실무와 협업을 깊게 경험하고 싶습니다. 또한 이 기회를 발판으로 데이터 흐름을 설계하는 전문가로 성장하여 AI와 클라우드가 융합된 시대에 기여하는 것이 저의 목표 입니다.","저는 10명 남짓의 규모로 한명이 온전한 한팀이 되기도 하는 스타트업에서 주문~ 배송 과정의 각 영역에서 수작업으로 진행되던 물류산업을 하나의 플랫폼으로 관리하자라는 기조로 saas 형태의 ERP를 사업의 주 모델로, 동시에 다양한 고객사의 요구사항을 반영하며 사업을 키워왔습니다. 저는 프론트엔드로 합류하여 ERP를 디자인하고 하나의 흐름을 갖는 구조화된 코드로, 프론트엔드 환경을 셋팅하고 기반을 구축하였습니다. 짧은 시간안에 다양한 작업을 진행하기 위해 명확하고 온건한 소통이 필수적이라는 것, 직무 혹은 각 팀원의 성향으로 집중하는 부분이 다르고 작업의 속도와 방향이 다를 수 있음을 경험할 수 있었습니다. 장기간 함께 작업하며 스스로의 상황과 요구사항을 설명하고 상대방의 의중을 듣는 태도를 기르게 되었고, 관련자가 충분히 이해할 수 있도록 스프린트 회의, 작업관리 툴을 적극적으로 도입하고 이용하였습니다."
여성,2000.06.10,대학교 졸업,성신여자대학교 융합보안공학과,퇴사 후 이직 준비자,"저는 빠르게 변화하는 IT환경 속에서 클라우드가 앞으로 많은 산업들의 근간이 될 것이라고 생각합니다. 기업의 서비스는 더 이상 개별 서버에 국한되지 않고 다양한 환경에서 안정적이면서도 신속하게 운영될 수 있어야 경쟁력을 확보할 수 있다고 생각하기 때문입니다. 이런 변화 속에서 클라우드 기술은 단순 트렌드가 아닌 서비스 운영과 혁신을 동시에 가능하게 하는 핵심 역량이라고 생각합니다.
이전 직장에서 저는 공공기관 개인정보 보호수준 평가 지원 사업에 참여해 일하며 개인정보 보호와 안정적인 시스템 운영이 기관의 신뢰와 직결된다는 점을 배웠습니다. 그래서 퇴사 후 클라우드 역량을 체계적으로 학습할 수 있는 교육을 찾던 중 본 과정에 지원하게 되었습니다.
저는 이번 교육 과정을 통해 Docker, Kubernetes 등 최신 기술을 실무 프로젝트와 함께 학습하며 DevOps 역량을 강화하고, 더 나아가서는 안전성을 갖춘 서비스 운영을 이끄는 클라우드 네이티브 전문가로 성장하고 싶습니다.","대학생 때 진행했던 정형데이터 비식별화 개발 미니 프로젝트에서 저는 CSV 파일들의 병합과 그 안에 들어있는 개인정보들을 식별해 마스킹하는 기능의 구현을 담당했습니다. 당시 팀원들 대부분이 개발 경험이 적었고, 팀원 간의 역할 분담이 모호해 중복 작업과 일정 지연 문제가 발생했었습니다. 이를 해결하기 위해 팀 회의에서 각자의 업무 범위 재조정과 역할과 책임을 명확히 분담할 수 있도록 제안했습니다. 이후 주간 회의를 통해 각자의 진행 상황 공유와 기능별 담당자를 명확히 지정함으로써 혼선을 줄일 수 있었습니다. 그 결과 개발 경험 부족으로 어려움도 있었지만 팀원들과의 협업을 통해 프로젝트를 기한 내에 마칠 수 있었습니다.
이 경험을 통해 효율적인 협업은 기술적 능력만이 아닌 소통과 명확한 역할 분담에서 시작된다는 교훈을 얻었습니다. 앞으로도 이런 경험을 바탕으로 갈등 상황에서도 소통과 협력을 우선시하며 다양한 의견을 존중하는 건강한 협업 문화를 만들겠습니다."
남성,1978.01.05,대학교 졸업,성결대학교 컴퓨터공학,퇴사 후 이직 준비자,"시스템 엔지니어로서 인프라 운영과 문제 해결 경험을 쌓아왔지만, IT 환경이 빠르게 클라우드 네이티브와 DevOps 중심으로 변화하고 있음을 체감했습니다. 이에 따라 컨테이너 기반 운영, 자동화, 보안 역량을 강화하고자 본 과정에 지원하였습니다. Docker, Kubernetes 실습을 통해 확장 가능한 운영 능력을 습득하고, CI/CD 개발 및 배포 자동화해 생산성과 신뢰성을 높이고, Service Mesh를 통해 마이크로서비스간 가시성 및 통신 관리 역량을 확보하는 것이 목표입니다. 이를 통해 온프레미스 경험을 클라우드 환경으로 확장하여, 변화하는 IT 환경에 부합하는 클라우드 전문가로 성장하고자 합니다.","시스템 엔지니어로 근무하며 서버 마이그레이션과 네트워크 재구성 프로젝트를 진행한 경험이 있습니다. 당시 현업과 개발팀은 서비스 중단 최소화를, 보안팀은 ISMS 규정에 맞는 신규 정책 적용을, 운영팀은 기존 호환성을 우선시하며 각기 다른 요구를 제시했습니다. 이 과정에서 저는 중간 조율 역할을 맡아 다자간 협의를 제안하고, 서비스 안정성을 최우선 원칙으로 삼아 일정을 진행했습니다. 또한 사전 테스트 환경을 구축하여 각 팀이 시나리오를 검증할 수 있도록 지원했습니다. 그 결과 서비스 중단을 최소화하면서도 보안 정책을 적용할 수 있었고, 부서 간 갈등도 원만히 해소되었습니다. 이 경험을 통해 협업에서는 기술적 역량뿐 아니라 소통과 합의를 이끌어내는 능력이 중요함을 배웠습니다."
남성,1998.05.20,대학교 졸업,아주대학교 산업공학과,퇴사 후 이직 준비자,"스타트업에서 AWS 기반 백엔드 시스템을 A to Z 구축하며 클라우드 기술에 대한 깊은 매력과 잠재력을 체감했습니다. 하지만 소규모 서비스와 유일한 백엔드 개발자라는 현실적 제약으로 인해 쿠버네티스 기반 MSA와 같은 클라우드 네이티브 기술을 도입하기는 어려웠습니다. 2년간 혼자 개발하며 느낀 기술적 한계와 멘토의 필요성을 절감했지만, 이는 AWS SAA, 정보처리기사 등의 자격증 취득으로만 만족해야 했습니다.

국내 최대 규모의 인프라를 운영하는 KT클라우드의 테크업 프로그램은 이러한 한계를 해소하고 클라우드 네이티브 전문가로 성장할 최적의 기회라고 생각하여 지원하게 되었습니다. 현직 멘토와 함께하는 실무 중심 교육을 통해 스타트업 경험을 체계화하고, 동료들과 몰입 환경에서 실무형 프로젝트를 수행하며 애자일한 문제 해결 역량을 갖춘 개발자로 성장하겠습니다. 이를 바탕으로 KT클라우드에 입사하여 클라우드 네이티브 서비스 개발을 통해 개인과 회사의 성장을 함께 이루고 싶습니다.","스타트업에서 반복된 프로젝트 실패와 잦은 기획 변경으로 팀원들 사이의 피로감과 불신이 쌓여갔습니다. 급변하는 시장 대응을 위한 기획 변경을 제한된 개발 리소스로 감당하기 어려워지면서, 업무 우선순위의 혼란이 발생한 것이 근본 원인이었습니다.

저는 해결을 위해 전체 팀원이 참여하는 회고를 제안하고, 프로젝트 변경 이력을 타임라인으로 시각화해 공유했습니다. 이를 통해 각자가 겪은 병목과 변경의 맥락을 투명하게 드러내며 공감대를 형성할 수 있었습니다. 이후 Notion으로 업무 진행 상황을 공유하고, Spring Rest Docs 도입으로 신뢰할 수 있는 API 문서를 제공함으로써 소통 오류를 최소화하고 협업 효율을 높였습니다.

결과적으로 팀 내 긴장감이 완화되고, 구성원들이 공동 목표에 다시 집중하면서 프로젝트를 일정 내에 성공적으로 마무리할 수 있었습니다. 이 경험을 통해 원활한 협업은 상호 존중을 기반으로 한 투명한 소통과 체계적인 시스템에 있다는 것을 깨달았습니다."
